Year,Game,Genre,Original platform,Publisher,HQ Location
1971,The Oregon Trail,Strategy,HP 2100,MECC,Other
1972,Pong,Sports,Arcade,"Atari, Inc.",United States
1977,Combat,Top-down shooter,Atari 2600,"Atari, Inc.",United States
1977,Zork,Adventure,PDP-10,Infocom,United States
1978,Space Invaders,Shoot 'em up,Arcade,Taito,Japan
1979,Asteroids,Shoot 'em up,Arcade,"Atari, Inc.",United States
1980,Adventure,Action-adventure,Atari 2600,"Atari, Inc.",United States
1980,Battlezone,Vehicle simulation,Arcade,"Atari, Inc.",United States
1980,Missile Command,Shoot 'em up,Arcade,"Atari, Inc.",United States
1980,Pac-Man,Maze,Arcade,Namco,Japan
1981,Centipede,Shoot 'em up,Arcade,"Atari, Inc.",United States
1981,Defender,Shoot 'em up,Arcade,Williams Electronics,United States
1981,Donkey Kong,Platform,Arcade,Nintendo,Japan
1981,Frogger,Action,Arcade,"Konami,Sega",Japan
1981,Galaga,Shoot 'em up,Arcade,Namco,Japan
1981,Tempest,Shoot 'em up,Arcade,"Atari, Inc.",United States
1981,Wizardry: Proving Grounds of the Mad Overlord,Role-playing,Apple II,Sir-Tech,Other
1982,Joust,Action,Arcade,Williams Electronics,United States
1982,Ms. Pac-Man,Maze,Arcade,Midway,Other
1982,Pitfall!,Platform,Atari 2600,Activision,United States
1982,Robotron: 2084,Top-down shooter,Arcade,Williams Electronics,United States
1983,Archon: The Light and the Dark,Strategy,Atari 8-bit,Electronic Arts,United States
1983,Lode Runner,Platform,Apple II,Broderbund,United States
1983,M.U.L.E.,Business simulation,"Atari 8-bit,Commodore 64",Electronic Arts,United States
1983,Star Wars,Rail shooter,Arcade,"Atari, Inc.",United States
1984,Elite,Space flight simulator,BBC Micro,Acornsoft,United Kingdom
1984,Marble Madness,Action,Arcade,Atari Games,United States
1985,Gauntlet,Hack and slash,Arcade,Atari Games,United States
1985,Ghosts 'n Goblins,Platform,Arcade,Capcom,Japan
1985,Super Mario Bros.,Platform,NES,Nintendo,Japan
1985,Tetris,Puzzle,Electronika 60,Elorg,Russia
1985,Ultima IV: Quest of the Avatar,Role-playing,Apple II,Origin Systems,Other
1986,Arkanoid,Block breaker,Arcade,Taito,Japan
1986,Bubble Bobble,Platform,Arcade,Taito,Japan
1986,The Legend of Zelda,Action-adventure,NES,Nintendo,Japan
1986,Out Run,Racing,Arcade,Sega,Japan
1987,Contra,Run and gun,Arcade,Konami,Japan
1987,Double Dragon,Beat 'em up,Arcade,Technos Japan,Japan
1987,Dungeon Master,Role-playing,Atari ST,FTL Games,United States
1987,Mike Tyson's Punch-Out!!,Sports,NES,Nintendo,Japan
1987,R-Type,Shoot 'em up,Arcade,Irem,Japan
1987,Sid Meier's Pirates!,Action-adventure,Commodore 64,MicroProse,Other
1988,Mega Man 2,Platform,NES,Capcom,Japan
1988,Ninja Gaiden,Platform,NES,Tecmo,Japan
1988,Super Mario Bros. 3,Platform,NES,Nintendo,Japan
1989,Final Fight,Beat 'em up,Arcade,Capcom,Japan
1989,Populous,God game,Amiga,Electronic Arts,United States
1989,Prince of Persia,Platform,Apple II,Broderbund,United States
1989,SimCity,City-building,"Amiga,Mac",Maxis,United States
1990,The Secret of Monkey Island,Adventure,PC,LucasArts,United States
1990,Speedball 2: Brutal Deluxe,Sports,"Amiga,Atari ST",Image Works,United Kingdom
1990,Super Mario World,Platform,Super NES,Nintendo,Japan
1990,Wing Commander,Space flight simulator,PC,Origin Systems,Other
1991,Another World,Platform,"Amiga,Atari ST",Delphine Software,France
1991,Civilization,Turn-based strategy,PC,MicroProse,Other
1991,Final Fantasy IV,Role-playing,Super NES,Square,Japan
1991,The Legend of Zelda: A Link to the Past,Action-adventure,Super NES,Nintendo,Japan
1991,Lemmings,Puzzle,Amiga,Psygnosis,United Kingdom
1991,Micro Machines,Racing,NES,Camerica,Canada
1991,Monkey Island 2: LeChuck's Revenge,Adventure,PC,LucasArts,United States
1991,Sonic the Hedgehog,Platform,Sega Genesis,Sega,Japan
1991,Street Fighter II,Fighting,Arcade,Capcom,Japan
1991,Super Castlevania IV,Platform,Super NES,Konami,Japan
1992,Alone in the Dark,Survival horror,PC,Infogrames,France
1992,Contra III: The Alien Wars,Run and gun,Super NES,Konami,Japan
1992,Dune II,Real-time strategy,PC,Virgin Games,United States
1992,Flashback,Platform,Amiga,U.S. Gold,United Kingdom
1992,Indiana Jones and the Fate of Atlantis,Adventure,PC,LucasArts,United States
1992,Mortal Kombat,Fighting,Arcade,Midway,Other
1992,Sensible Soccer,Sports,"Amiga,Atari ST",Renegade Software,Other
1992,Sonic the Hedgehog 2,Platform,Sega Genesis,Sega,Japan
1992,Star Control II,Action-adventure,PC,Accolade,United States
1992,Streets of Rage 2,Beat 'em up,Sega Genesis,Sega,Japan
1992,Super Mario Kart,Kart racing,Super NES,Nintendo,Japan
1992,Ultima VII: The Black Gate,Role-playing,PC,Origin Systems,Other
1992,Virtua Racing,Racing,Arcade,Sega,Japan
1992,Wolfenstein 3D,First-person shooter,PC,Apogee Software,Other
1993,Day of the Tentacle,Adventure,PC,LucasArts,United States
1993,Doom,First-person shooter,PC,id Software,United States
1993,Gunstar Heroes,Run and gun,Sega Genesis,Sega,Japan
1993,The Legend of Zelda: Link's Awakening,Action-adventure,Game Boy,Nintendo,Japan
1993,Mega Man X,Platform,Super NES,Capcom,Japan
1993,Mortal Kombat II,Fighting,Arcade,Midway,Other
1993,Myst,Adventure,Mac,Broderbund,United States
1993,NBA Jam,Sports,Arcade,Midway,Other
1993,Phantasy Star IV,Role-playing,Sega Genesis,Sega,Japan
1993,Ridge Racer,Racing,Arcade,Namco,Japan
1993,Sam & Max Hit the Road,Adventure,PC,LucasArts,United States
1993,Secret of Mana,Action role-playing,Super NES,Square,Japan
1993,Samurai Shodown,Fighting,Arcade,SNK,Japan
1993,SimCity 2000,City-building,Mac,Maxis,United States
1993,Star Fox,Rail shooter,Super NES,Nintendo,Japan
1993,Syndicate,Real-time tactics,"Amiga,PC",Electronic Arts,United States
1994,Daytona USA,Racing,Arcade,Sega,Japan
1994,Donkey Kong Country,Platform,Super NES,Nintendo,Japan
1994,Doom II,First-person shooter,PC,GT Interactive,United States
1994,EarthBound,Role-playing,Super NES,Nintendo,Japan
1994,Final Fantasy VI,Role-playing,Super NES,Square,Japan
1994,Sega Rally Championship,Racing,Arcade,Sega,Japan
1994,Sensible World of Soccer,Sports,Amiga,Renegade Software,Other
1994,Star Wars: TIE Fighter,Space flight simulator,PC,LucasArts,United States
1994,Super Metroid,Action-adventure,Super NES,Nintendo,Japan
1994,Tempest 2000,Shoot 'em up,Atari Jaguar,Atari Corporation,United States
1994,Theme Park,Business simulation,"Amiga,PC",Electronic Arts,United States
1994,Virtua Fighter 2,Fighting,Arcade,Sega,Japan
1994,X-COM: UFO Defense,Turn-based strategy,PC,MicroProse,Other
1995,Chrono Trigger,Role-playing,Super NES,Square,Japan
1995,Command & Conquer,Real-time strategy,PC,Virgin Interactive,United States
1995,MechWarrior 2: 31st Century Combat,Vehicle simulation,PC,Activision,United States
1995,Warcraft II: Tides of Darkness,Real-time strategy,PC,Blizzard Entertainment,United States
1995,Wipeout,Racing,"PC,PlayStation",Psygnosis,United Kingdom
1995,Worms,Artillery,Amiga,Ocean Software,United Kingdom
1995,Yoshi's Island,Platform,Super NES,Nintendo,Japan
1996,Civilization II,Turn-based strategy,PC,MicroProse,Other
1996,Command & Conquer: Red Alert,Real-time strategy,PC,Virgin Interactive,United States
1996,Duke Nukem 3D,First-person shooter,PC,GT Interactive,United States
1996,Mario Kart 64,Kart racing,Nintendo 64,Nintendo,Japan
1996,Nights into Dreams,Action,Saturn,Sega,Japan
1996,PaRappa the Rapper,Rhythm,PlayStation,Sony Computer Entertainment,United States
1996,Pokémon RedandBlue,Role-playing,Game Boy,Nintendo,Japan
1996,Quake,First-person shooter,PC,GT Interactive,United States
1996,Resident Evil,Survival horror,PlayStation,Capcom,Japan
1996,Super Mario 64,Platform,Nintendo 64,Nintendo,Japan
1996,Tomb Raider,Action-adventure,"Saturn,PC,PlayStation",Eidos Interactive,United Kingdom
1996,Wave Race 64,Racing,Nintendo 64,Nintendo,Japan
1996,Wipeout 2097,Racing,PlayStation,Psygnosis,United Kingdom
1997,Age of Empires,Real-time strategy,PC,Microsoft,United States
1997,Castlevania: Symphony of the Night,Action role-playing,PlayStation,Konami,Japan
1997,Diablo,Action role-playing,PC,Blizzard Entertainment,United States
1997,Fallout,Role-playing,PC,Interplay Entertainment,United States
1997,Final Fantasy Tactics,Tactical role-playing,PlayStation,Square,Japan
1997,Final Fantasy VII,Role-playing,PlayStation,Square,Japan
